Date,Tmax_1,Tmin_1,Tavg_1,Tdepart,Tdew_point_1,Twet_bulb_1,HeatDegDay_1,CoolDegDay_1,Sunrise,Sunset,PrecipTotal_1,StnPressure_1,Wind_ResultSpeed_1,Wind_ResultDir_1,Wind_AvgSpeed_1,WeatherCode_BR_1,WeatherCode_DZ_1,WeatherCode_HZ_1,WeatherCode_NONE_1,WeatherCode_RA_1,WeatherCode_TS_1,WeatherCode_TSRA_1,Tmax_2,Tmin_2,Tavg_2,Tdew_point_2,Twet_bulb_2,HeatDegDay_2,CoolDegDay_2,PrecipTotal_2,StnPressure_2,Wind_ResultSpeed_2,Wind_ResultDir_2,Wind_AvgSpeed_2,WeatherCode_BR_2,WeatherCode_DZ_2,WeatherCode_HZ_2,WeatherCode_NONE_2,WeatherCode_RA_2,WeatherCode_TS_2,WeatherCode_TSRA_2
2007-05-01,83,50,67,14,51,56,0,2,448,1849,0.0,29.1,1.7,27,9.2,0,0,0,1,0,0,0,84,52,68,51,57,0,3,0.0,29.18,2.7,25,9.6,0,0,0,1,0,0,0
2007-05-02,59,42,51,-3,42,47,14,0,447,1850,0.0,29.38,13.0,4,13.4,1,0,0,0,0,0,0,60,43,52,42,47,13,0,0.0,29.44,13.3,2,13.4,1,0,1,0,0,0,0
2007-05-03,66,46,56,2,40,48,9,0,446,1851,0.0,29.39,11.7,7,11.9,0,0,0,1,0,0,0,67,48,58,40,50,7,0,0.0,29.46,12.9,6,13.2,0,0,1,0,0,0,0
2007-05-04,66,49,58,4,41,50,7,0,444,1852,0.005,29.31,10.4,8,10.8,0,0,0,0,1,0,0,78,51,65,42,50,0,0,0.0,29.36,10.1,7,10.4,0,0,0,1,0,0,0
2007-05-05,66,53,60,5,38,49,5,0,443,1853,0.005,29.4,11.7,7,12.0,0,0,0,1,0,0,0,66,54,60,39,50,5,0,0.005,29.46,11.2,7,11.5,0,0,0,1,0,0,0
2007-05-06,68,49,59,4,30,46,6,0,442,1855,0.0,29.57,14.4,11,15.0,0,0,0,1,0,0,0,68,52,60,30,46,5,0,0.0,29.62,13.8,10,14.5,0,0,0,1,0,0,0
2007-05-07,83,47,65,10,41,54,0,0,441,1856,0.005,29.38,8.6,18,10.5,0,0,0,0,1,0,0,84,50,67,39,53,0,2,0.0,29.44,8.5,17,9.9,0,0,0,1,0,0,0
2007-05-08,82,54,68,12,58,62,0,3,439,1857,0.0,29.29,2.7,11,5.8,1,0,0,0,0,0,0,80,60,70,57,63,0,5,0.005,29.36,2.5,8,5.4,0,0,1,0,0,0,0
2007-05-09,77,61,69,13,59,63,0,4,438,1858,0.13,29.21,3.9,9,6.2,1,0,1,0,0,0,0,76,63,70,60,63,0,5,0.02,29.28,3.9,7,5.9,1,0,1,0,0,0,0
2007-05-10,84,56,70,14,52,60,0,5,437,1859,0.0,29.2,0.7,17,4.1,1,0,0,0,0,0,0,83,59,71,52,61,0,6,0.0,29.26,2.0,9,3.9,1,0,1,0,0,0,0
